name,description,category,muscle,equipment,difficulty,rating,rating_description,image_url,primary_muscle,muscle_region,secondary_images
30 arms ez-bar skullcrusher,No description available,strength,arms,E-Z Curl Bar,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms ez-bar spider curl,No description available,strength,arms,E-Z Curl Bar,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms hammer curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://t3.ftcdn.net/jpg/05/04/89/18/240_F_504891829_C8C4uvSyiarKli1wYpnDmNvkqiWsE2KN.jpg,arms_biceps,arms_biceps,[]
30 arms high cable curl,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms incline biceps curl,No description available,strength,arms,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms incline dumbbell triceps extension,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg,arms_triceps,arms_triceps,[]
30 arms incline hammer curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://t3.ftcdn.net/jpg/05/04/89/18/240_F_504891829_C8C4uvSyiarKli1wYpnDmNvkqiWsE2KN.jpg,arms_biceps,arms_biceps,[]
30 arms machine triceps dip,No description available,strength,arms,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 arms overhead dumbbell triceps extension,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg,arms_triceps,arms_triceps,[]
30 arms seated alternating biceps curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms seated biceps curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms seated dumbbell concentration curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms single-arm dumbbell preacher curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms single-arm hammer preacher curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms single-arm reverse-grip cable push-down,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms squatting cable straight-bar curl,No description available,strength,arms,Cable,Intermediate,5.9,,https://www.shutterstock.com/image-illustration/quadriceps-male-muscles-anatomy-muscle-260nw-489727177.jpg,legs_quads,"legs_quads, glute_maximus",['https://mdhealth.com.au/wp-content/uploads/2014/07/gluteus-maximus-1000x675.jpg']
30 arms standing alternating biceps curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms standing alternating hammer curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://t3.ftcdn.net/jpg/05/04/89/18/240_F_504891829_C8C4uvSyiarKli1wYpnDmNvkqiWsE2KN.jpg,arms_biceps,arms_biceps,[]
30 arms standing barbell curl,No description available,strength,arms,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms standing biceps curl,No description available,strength,arms,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms standing dumbbell hammer curl 21s,No description available,strength,arms,Dumbbell,Intermediate,5.9,,https://t3.ftcdn.net/jpg/05/04/89/18/240_F_504891829_C8C4uvSyiarKli1wYpnDmNvkqiWsE2KN.jpg,arms_biceps,arms_biceps,[]
30 arms standing ez-bar curl,No description available,strength,arms,E-Z Curl Bar,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms standing overhand ez-bar curl,No description available,strength,arms,E-Z Curl Bar,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms triceps dip,No description available,strength,arms,Bodyweight,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 arms underhand cable straight-bar push-down,No description available,strength,arms,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 arms weighted triceps dip,No description available,strength,arms,Other,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 back band-assisted pull-up,No description available,strength,middle back,Bands,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back barbell deadlift,No description available,strength,middle back,Barbell,Intermediate,5.9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_OWv94jxxO7g7rUVzmTJelOJFvjrh579tqA&s,legs_hamstrings,"legs_hamstrings, glute_maximus",['https://mdhealth.com.au/wp-content/uploads/2014/07/gluteus-maximus-1000x675.jpg']
30 back bent-over barbell row,No description available,strength,middle back,Barbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back bent-over dumbbell row,No description available,strength,middle back,Dumbbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back close-grip seated cable row,No description available,strength,middle back,Cable,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back dumbbell pull-over,No description available,strength,middle back,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back incline dumbbell row,No description available,strength,middle back,Dumbbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back incline face-up cable pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back kneeling high cable pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back leaning v-bar pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back machine seated row,No description available,strength,middle back,Machine,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back neutral-grip pull-down,No description available,strength,middle back,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back plate hyperextension,No description available,strength,middle back,Other,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back pull-up,No description available,strength,middle back,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back reverse-grip band-assisted pull-up,No description available,strength,middle back,Bands,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back reverse-grip pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back reverse-grip pull-up,No description available,strength,middle back,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back single-arm dumbbell row,No description available,strength,middle back,Dumbbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back single-arm dumbbell swing row,No description available,strength,middle back,Dumbbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back smith machine push-up,No description available,strength,middle back,Machine,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back standing low cable bar row,No description available,strength,middle back,Cable,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back standing low cable rope row,No description available,strength,middle back,Cable,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back straight-arm bar pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back straight-arm rope pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back t-bar row,No description available,strength,middle back,Barbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back underhand bent-over barbell row,No description available,strength,middle back,Barbell,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 back wide-grip behind-the-head pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back wide-grip pull-down,No description available,strength,middle back,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 back wide-grip seated cable row,No description available,strength,middle back,Cable,Intermediate,5.9,,https://blog.infs.com/wp-content/uploads/2025/03/129458131_m.jpg,back_rhomboids,back_rhomboids,[]
30 barbell floor wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",strength,core,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",strength,core,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 bosu cable reverse crunch,No description available,strength,core,Exercise Ball,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 cable pallof press,"The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.",strength,core,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",strength,core,Cable,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 cable reverse crunch on ball,"The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.",strength,core,Cable,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 cable rope crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",strength,core,Cable,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,[]
30 cable rope oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher.",strength,core,Cable,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,[]
30 chest 30-degree incline dumbbell fly,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest 30-degree incline dumbbell press,No description available,strength,chest,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest 30-degree incline smith machine press,No description available,strength,chest,Machine,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest barbell bench press,No description available,strength,chest,Barbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest bench push-up,No description available,strength,chest,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest dumbbell bench press,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest dumbbell fly,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest dumbbells-together incline bench press,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest dumbbells-together press,No description available,strength,chest,Dumbbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest high-to-low cable fly,No description available,strength,chest,Cable,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest high-to-low cable press,No description available,strength,chest,Cable,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest incline barbell bench press,No description available,strength,chest,Barbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest incline cable chest press,No description available,strength,chest,Cable,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest incline cable fly,No description available,strength,chest,Cable,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest incline dumbbell bench press,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest incline dumbbell fly,No description available,strength,chest,Dumbbell,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest low-to-high cable fly,No description available,strength,chest,Cable,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest machine flat chest press,No description available,strength,chest,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest machine fly,No description available,strength,chest,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest machine incline chest press,No description available,strength,chest,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest push-up,No description available,strength,chest,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest push-up to isometric hold,No description available,strength,chest,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 chest shoulder-height cable fly,No description available,strength,chest,Cable,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest smith machine chest press,No description available,strength,chest,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals,"chest_pectorals, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 chest smith machine incline chest press,No description available,strength,chest,Machine,Intermediate,5.9,,https://cdn.shopify.com/s/files/1/1214/5580/files/Muscle_Group_Chest.jpg?v=1601050935,chest_pectorals_upper,"chest_pectorals_upper, shoulders_anterior, arms_triceps","['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Deltoid_muscle.PNG/500px-Deltoid_muscle.PNG', 'https://barbend.com/wp-content/uploads/2019/04/Tricep-Muscle-Anatomy-1024x661.jpg']"
30 day back barbell rack pull,No description available,strength,lower back,Barbell,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 decline press sit-up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,strength,core,Other,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 decline reverse crunch,The decline reverse crunch is a core exercise targeting the lower abdominals.,strength,core,Bodyweight,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 flat bench leg raise,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",strength,core,Bodyweight,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 flutter kick,"The flutter kick is a core exercise where the legs are held off the ground as you flutter your feet over and under each other in small motions. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 gorilla chin oblique crunch,No description available,strength,core,Bodyweight,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,[]
30 hanging leg raise with dumbbell,No description available,strength,core,Dumbbell,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis_lower,rectus_abdominis_lower,[]
30 hanging oblique crunch,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)",strength,core,Bodyweight,Intermediate,5.9,,https://www.madscientistofmuscle.com/1-exercises/1-muscle-anatomy/graphics/rectus-abdominis.jpg,rectus_abdominis,rectus_abdominis,[]
30 hanging toes-to-bar,"The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement: strict or swinging, arms completely straight or slightly bent, legs straight or bent, each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.",strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,full_muscle,[]
30 hollow-body hold,"The hollow-body hold is an isometric exercise that increases strength and stability in the core muscles. It is common in gymnastics training, CrossFit training, and as a core tension and bracing drill for lifters and athletes of all types. It is performed for time and can be performed as an activation drill prior to lifting, as part of a circuit, or as equipment-free core training anytime.",strength,core,Bodyweight,Intermediate,5.9,,,full_muscle,"full_muscle, transverse_core",['https://kinxlearning.com/cdn/shop/files/muscle-61_500x.jpg?v=1613518563']
